Date,Open,High,Low,Close,Volume
12/29/2021,"44.26","45.09","43.93","44.20","7,497,772"
12/28/2021,"44.90","45.35","44.10","44.50","6,375,649"
12/27/2021,"41.93","44.75","41.31","44.61","8,188,050"
12/23/2021,"42.52","42.78","41.97","42.05","5,399,872"
12/22/2021,"41.31","42.90","40.70","42.29","7,569,792"
12/21/2021,"38.96","41.56","38.94","41.31","15,177,940"
12/20/2021,"36.38","38.38","35.55","38.26","20,487,430"
12/17/2021,"39.88","40.10","38.30","39.20","20,555,920"
12/16/2021,"40.35","41.55","40.04","40.36","10,233,970"
12/15/2021,"40.33","40.34","38.17","39.98","14,637,150"
12/14/2021,"40.40","41.08","39.89","40.34","11,249,700"
12/13/2021,"42.57","43.00","40.98","41.06","9,522,815"
12/10/2021,"42.98","43.52","41.51","43.42","8,017,455"
12/09/2021,"43.48","43.56","42.02","42.32","10,979,610"
12/08/2021,"45.33","45.55","44.52","44.91","8,233,282"
12/07/2021,"43.12","45.39","43.12","45.12","13,003,800"
12/06/2021,"42.35","43.18","41.35","42.36","8,408,001"
12/03/2021,"42.37","43.23","40.95","41.77","9,960,229"
12/02/2021,"40.28","41.86","39.07","41.59","13,679,350"
12/01/2021,"43.94","43.94","40.75","40.84","12,628,030"
11/30/2021,"42.79","43.86","41.52","42.06","18,070,039"
11/29/2021,"44.03","45.04","43.15","43.92","10,617,090"
